experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed
195,0.001,10000,300,128,40,10,forward,FF,15,375
462,0.001,10000,300,512,160,20,forward,ZERO,15,270
452,0.001,10000,3600,512,80,20,forward,ZERO,15,141
563,0.001,10000,3600,1024,160,80,forward,ZERO,15,394
620,0.001,10000,3600,512,320,10,forward,RAND,15,248
646,0.001,10000,1800,1024,80,20,forward,RAND,15,11
553,0.001,10000,1800,32,160,80,forward,ZERO,15,232
498,0.001,10000,300,512,80,40,forward,ZERO,15,470
143,0.001,10000,3600,1024,320,40,forward,LSTM,15,76
672,0.001,10000,300,32,40,40,forward,RAND,15,387
667,0.001,10000,1800,512,320,20,forward,RAND,15,383
622,0.001,10000,1800,1024,320,10,forward,RAND,15,410
243,0.001,10000,300,128,40,20,forward,FF,15,66
485,0.001,10000,3600,128,40,40,forward,ZERO,15,538
401,0.001,10000,3600,128,80,10,forward,ZERO,15,458
569,0.001,10000,3600,128,320,80,forward,ZERO,15,655
73,0.001,10000,1800,32,160,20,forward,LSTM,15,622
618,0.001,10000,300,512,320,10,forward,RAND,15,323
179,0.001,10000,3600,1024,160,80,forward,LSTM,15,240
766,0.001,10000,1800,1024,320,80,forward,RAND,15,559
701,0.001,10000,3600,128,160,40,forward,RAND,15,430
450,0.001,10000,300,512,80,20,forward,ZERO,15,674
203,0.001,10000,3600,1024,40,10,forward,FF,15,473
736,0.001,10000,1800,128,80,80,forward,RAND,15,177
704,0.001,10000,3600,512,160,40,forward,RAND,15,57
102,0.001,10000,300,512,40,40,forward,LSTM,15,10
285,0.001,10000,300,1024,320,20,forward,FF,15,190
94,0.001,10000,1800,1024,320,20,forward,LSTM,15,548
666,0.001,10000,300,512,320,20,forward,RAND,15,512
259,0.001,10000,1800,512,80,20,forward,FF,15,229
732,0.001,10000,300,32,80,80,forward,RAND,15,288
544,0.001,10000,1800,128,80,80,forward,ZERO,15,189
138,0.001,10000,300,512,320,40,forward,LSTM,15,261
690,0.001,10000,300,512,80,40,forward,RAND,15,729
304,0.001,10000,1800,128,80,40,forward,FF,15,179
