experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed,FIT,RMSE
409,0.001,10000,1800,32,160,10,forward,ZERO,15,686,96.0687255859375,9.401545859873295
445,0.001,10000,1800,32,80,20,forward,ZERO,15,4,98.09375,4.558744840323925
170,0.001,10000,3600,32,160,80,forward,LSTM,15,597,98.72239685058594,3.0553454998880625
696,0.001,10000,300,32,160,40,forward,RAND,15,565,92.03173065185547,19.055908545851707
76,0.001,10000,1800,128,160,20,forward,LSTM,15,672,97.67752075195312,5.55413868278265
5,0.001,10000,3600,128,40,10,forward,LSTM,15,103,98.47180938720703,3.654629457741976
522,0.001,10000,300,512,320,40,forward,ZERO,15,322,90.89635467529297,21.77111990749836
461,0.001,10000,3600,128,160,20,forward,ZERO,15,284,98.29102325439453,4.086969420313835
22,0.001,10000,1800,1024,80,10,forward,LSTM,15,172,97.62933349609375,5.669388920068741
62,0.001,10000,3600,32,80,20,forward,LSTM,15,626,98.66903686523438,3.1829681247472763
242,0.001,10000,3600,32,40,20,forward,FF,15,200,97.50324249267578,5.970928817987442
17,0.001,10000,3600,128,80,10,forward,LSTM,15,55,98.57769775390625,3.401407040655613
319,0.001,10000,1800,512,160,40,forward,FF,15,356,98.05298614501953,4.6562310308218
393,0.001,10000,300,1024,40,10,forward,ZERO,15,665,91.27079010009766,20.87566629052162
422,0.001,10000,3600,32,320,10,forward,ZERO,15,716,98.17539978027344,4.363474901765585
326,0.001,10000,3600,32,320,40,forward,FF,15,412,97.69694519042969,5.507688038051128
473,0.001,10000,3600,128,320,20,forward,ZERO,15,81,98.04692840576172,4.670722875744104
63,0.001,10000,300,128,80,20,forward,LSTM,15,266,95.49427032470703,10.775327682495117
604,0.001,10000,1800,128,160,10,forward,RAND,15,228,97.56527709960938,5.822581704705954
443,0.001,10000,3600,1024,40,20,forward,ZERO,15,348,98.29285430908203,4.082589875906706
177,0.001,10000,300,1024,160,80,forward,LSTM,15,302,92.74246978759766,17.35619455575943
260,0.001,10000,3600,512,80,20,forward,FF,15,533,98.57167053222656,3.415814833715558
163,0.001,10000,1800,512,80,80,forward,LSTM,15,530,97.17689514160156,6.7513869144022465
347,0.001,10000,3600,1024,40,80,forward,FF,15,330,98.02054595947266,4.733806475996971
256,0.001,10000,1800,128,80,20,forward,FF,15,711,97.98326873779297,4.822950344532728
588,0.001,10000,300,32,80,10,forward,RAND,15,349,92.15391540527344,18.76368187367916
