experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed
220,0.001,10000,300,1024,64,10,LSTM,30,156
82,0.001,10000,300,1024,256,40,FF,10,159
309,0.001,10000,1800,128,64,100,FF,30,58
166,0.001,10000,300,1024,64,10,RAND,10,208
169,0.001,10000,1800,32,256,10,RAND,10,116
15,0.001,10000,1800,128,512,10,LSTM,10,332
245,0.001,10000,1800,1024,256,40,LSTM,30,44
353,0.001,10000,1800,1024,256,40,ZERO,30,324
6,0.001,10000,300,32,256,10,LSTM,10,350
383,0.001,10000,1800,1024,64,10,RAND,30,151
405,0.001,10000,1800,128,256,40,RAND,30,333
104,0.001,10000,300,128,512,100,FF,10,246
303,0.001,10000,1800,128,512,40,FF,30,11
61,0.001,10000,1800,32,256,10,FF,10,59
208,0.001,10000,300,1024,256,100,RAND,10,241
302,0.001,10000,300,128,512,40,FF,30,258
51,0.001,10000,1800,128,512,100,LSTM,10,374
90,0.001,10000,300,32,64,100,FF,10,5
207,0.001,10000,1800,128,256,100,RAND,10,421
22,0.001,10000,300,1024,64,40,LSTM,10,90
391,0.001,10000,1800,32,512,10,RAND,30,288
218,0.001,10000,300,128,64,10,LSTM,30,2
73,0.001,10000,1800,32,64,40,FF,10,76
400,0.001,10000,300,1024,64,40,RAND,30,197
205,0.001,10000,1800,32,256,100,RAND,10,137
4,0.001,10000,300,1024,64,10,LSTM,10,10
190,0.001,10000,300,1024,256,40,RAND,10,61
164,0.001,10000,300,128,64,10,RAND,10,428
185,0.001,10000,1800,1024,64,40,RAND,10,162
194,0.001,10000,300,128,512,40,RAND,10,224
93,0.001,10000,1800,128,64,100,FF,10,134
132,0.001,10000,300,32,256,40,ZERO,10,272
233,0.001,10000,1800,1024,512,10,LSTM,30,214
173,0.001,10000,1800,1024,256,10,RAND,10,254
178,0.001,10000,300,1024,512,10,RAND,10,126
313,0.001,10000,1800,32,256,100,FF,30,209
315,0.001,10000,1800,128,256,100,FF,30,344
115,0.001,10000,1800,32,256,10,ZERO,10,71
32,0.001,10000,300,128,512,40,LSTM,10,175
206,0.001,10000,300,128,256,100,RAND,10,412
282,0.001,10000,300,32,512,10,FF,30,371
418,0.001,10000,300,1024,64,100,RAND,30,87
96,0.001,10000,300,32,256,100,FF,10,22
343,0.001,10000,1800,32,64,40,ZERO,30,279
123,0.001,10000,1800,128,512,10,ZERO,10,56
410,0.001,10000,300,128,512,40,RAND,30,174
74,0.001,10000,300,128,64,40,FF,10,179
89,0.001,10000,1800,1024,512,40,FF,10,378
38,0.001,10000,300,128,64,100,LSTM,10,351
179,0.001,10000,1800,1024,512,10,RAND,10,186
428,0.001,10000,300,128,512,100,RAND,30,192
0,0.001,10000,300,32,64,10,LSTM,10,154
46,0.001,10000,300,1024,256,100,LSTM,10,60
171,0.001,10000,1800,128,256,10,RAND,10,424
149,0.001,10000,1800,1024,64,100,ZERO,10,219
7,0.001,10000,1800,32,256,10,LSTM,10,102
107,0.001,10000,1800,1024,512,100,FF,10,346
427,0.001,10000,1800,32,512,100,RAND,30,323
133,0.001,10000,1800,32,256,40,ZERO,10,63
256,0.001,10000,300,1024,64,100,LSTM,30,40
223,0.001,10000,1800,32,256,10,LSTM,30,255
83,0.001,10000,1800,1024,256,40,FF,10,4
327,0.001,10000,1800,128,64,10,ZERO,30,369
380,0.001,10000,300,128,64,10,RAND,30,183
102,0.001,10000,300,32,512,100,FF,10,14
323,0.001,10000,1800,1024,512,100,FF,30,23
108,0.001,10000,300,32,64,10,ZERO,10,75
213,0.001,10000,1800,128,512,100,RAND,10,51
195,0.001,10000,1800,128,512,40,RAND,10,423
407,0.001,10000,1800,1024,256,40,RAND,30,165
340,0.001,10000,300,1024,512,10,ZERO,30,48
246,0.001,10000,300,32,512,40,LSTM,30,118
72,0.001,10000,300,32,64,40,FF,10,389
94,0.001,10000,300,1024,64,100,FF,10,7
125,0.001,10000,1800,1024,512,10,ZERO,10,213
135,0.001,10000,1800,128,256,40,ZERO,10,381
197,0.001,10000,1800,1024,512,40,RAND,10,238
201,0.001,10000,1800,128,64,100,RAND,10,349
365,0.001,10000,1800,1024,64,100,ZERO,30,57
248,0.001,10000,300,128,512,40,LSTM,30,129
224,0.001,10000,300,128,256,10,LSTM,30,138
26,0.001,10000,300,128,256,40,LSTM,10,150
324,0.001,10000,300,32,64,10,ZERO,30,43
284,0.001,10000,300,128,512,10,FF,30,269
168,0.001,10000,300,32,256,10,RAND,10,240
377,0.001,10000,1800,1024,512,100,ZERO,30,128
413,0.001,10000,1800,1024,512,40,RAND,30,193
3,0.001,10000,1800,128,64,10,LSTM,10,199
134,0.001,10000,300,128,256,40,ZERO,10,298
325,0.001,10000,1800,32,64,10,ZERO,30,0
355,0.001,10000,1800,32,512,40,ZERO,30,84
292,0.001,10000,300,1024,64,40,FF,30,77
186,0.001,10000,300,32,256,40,RAND,10,34
24,0.001,10000,300,32,256,40,LSTM,10,37
295,0.001,10000,1800,32,256,40,FF,30,410
128,0.001,10000,300,128,64,40,ZERO,10,408
424,0.001,10000,300,1024,256,100,RAND,30,359
385,0.001,10000,1800,32,256,10,RAND,30,202
314,0.001,10000,300,128,256,100,FF,30,345
228,0.001,10000,300,32,512,10,LSTM,30,300
396,0.001,10000,300,32,64,40,RAND,30,177
131,0.001,10000,1800,1024,64,40,ZERO,10,106
