experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed,FIT
115,0.001,10000,1800,32,256,10,ZERO,10,71,80.14763641357422
32,0.001,10000,300,128,512,40,LSTM,10,175,84.84189589353548
206,0.001,10000,300,128,256,100,RAND,10,412,85.50397491455078
282,0.001,10000,300,32,512,10,FF,30,371,80.58524460354035
418,0.001,10000,300,1024,64,100,RAND,30,87,83.03047943115234
96,0.001,10000,300,32,256,100,FF,10,22,83.60561669499789
343,0.001,10000,1800,32,64,40,ZERO,30,279,81.05088806152344
123,0.001,10000,1800,128,512,10,ZERO,10,56,83.09418487548828
410,0.001,10000,300,128,512,40,RAND,30,174,79.4588623046875
74,0.001,10000,300,128,64,40,FF,10,179,91.23557114669352
89,0.001,10000,1800,1024,512,40,FF,10,378,90.41260571551031
38,0.001,10000,300,128,64,100,LSTM,10,351,90.3014351782253
179,0.001,10000,1800,1024,512,10,RAND,10,186,79.80537414550781
428,0.001,10000,300,128,512,100,RAND,30,192,82.64852905273438
0,0.001,10000,300,32,64,10,LSTM,10,154,87.5871111206628
46,0.001,10000,300,1024,256,100,LSTM,10,60,81.7590592503953
171,0.001,10000,1800,128,256,10,RAND,10,424,80.39360809326172
149,0.001,10000,1800,1024,64,100,ZERO,10,219,89.01593780517578
7,0.001,10000,1800,32,256,10,LSTM,10,102,90.87623649217139
107,0.001,10000,1800,1024,512,100,FF,10,346,90.10785121643063
427,0.001,10000,1800,32,512,100,RAND,30,323,84.25114440917969
133,0.001,10000,1800,32,256,40,ZERO,10,63,85.46920013427734
256,0.001,10000,300,1024,64,100,LSTM,30,40,82.6597420771361
223,0.001,10000,1800,32,256,10,LSTM,30,255,87.96485726851898
83,0.001,10000,1800,1024,256,40,FF,10,4,83.66770174506286
327,0.001,10000,1800,128,64,10,ZERO,30,369,75.35623931884766
380,0.001,10000,300,128,64,10,RAND,30,183,73.17213439941406
102,0.001,10000,300,32,512,100,FF,10,14,80.78366710568436
